Ala,Volkan,Ala,Mersin,On an expansion formula of a Sturm-Liouville operator
Безмельницына,Юлия,Евгеньевна,Воронеж,О случайной многолистной направляющей функции
Бейсебаева,Акбопе,Жапбаровна,Шымкент,Формула следа задачи Коши дифференциального уравнения первого порядка с переменным отклонением аргумента
Бектаева,Жансая,Бауыржановна,"Казахстан, г.Шымкент",О канторовом компоненте спектра оператора теплопроводности с отклоняющимся аргументом
Белоусов,Федор,Анатольевич,Москва,Вариационное исчисление
Бильченко,Григорий (мл.),Григорьевич,Казань,О влиянии линейного температурного фактора при постоянном вдуве на область значений функционалов гиперзвуковой аэродинамики
Бильченко,Григорий (ст.),Григорьевич,Казань,О движениях носителя с подвижным грузом по горизонтальной плоскости с анизотропным трением
Бильченко,Наталья,Григорьевна,Казань,О влиянии линейного вдува при постоянном температурном факторе на область значений функционалов гиперзвуковой аэродинамики
Бородин,Петр,Анатольевич,Москва,Жадные и нежадные приближения произвольным множеством
Бугакова,Надежда,Игоревна,Воронеж,О разнопорядковых граничных задачах
Буздов,Беслан,Каральбиевич,Нальчик,Численное исследование задач типа Стефана в криомедицине
Булатов,Михаил,Валерьянович,Иркутск,Дифференциально-алгебраические уравнения высокого порядка
Булатов,Михаил,Валерьянович,Иркутск,О линейных дифференциально-алгебраических уравнениях высокого порядка
Булатова,Регина,Рашидовна,Москва,Система уравнений симметричного пограничного слоя модифицированной жидкости О.А. Ладыженской в переменных Крокко.
Булинская,Екатерина,Вадимовна,Москва,Оптимальные и асимптотически оптимальные управления в прикладной теории вероятностей
Бурлуцкая,Мария,Шаукатовна,Воронеж,Об операторах с инволюцией
Васильев,Владимир,Борисович,Белгород,О дискретных эллиптических краевых задачах
Вахитова,Екатерина,Васильевна,Воронеж,О весах и функциях в методах весового решета
Вирченко,Юрий,Петрович,Белгород,Эволюционное уравнение для плотности магнитного момента сферически симметричного ферромагнетика
Водолазов,Александр,Михайлович,Саратов,Системы сжатий и сдвигов в локальных полях нулевой характеристики
Войтицкий,Виктор,Иванович,Симферополь,"Малые нормальные движения системы сочленённых тел с полостями, заполненными системами однородных несмешивающихся жидкостей"
Войтицкий,Виктор,Иванович,Симферополь,"О малых колебаниях маятника с полостью, заполненной двумя несмешивающимися идеальными жидкостями (совместно с Копачевским Н.Д.)"
Ву Нгуен,Шон Тунг,-,Москва,О некоторых примерах нелокальных задач для эволюционных уравнений с суперустойчивой полугруппой
Высоцкая,Ирина,Алевтиновна,Воронеж,Почти периодические на бесконечности функции и их приложение к решению дифференциальных уравнений.
Галкин,Олег,Евгеньевич,Нижний Новгород,Применение крайних подабсцисс и надабсцисс для поиска глобальных экстремумов недифференцируемых функций.
Гетманова,Екатерина,Николаевна,Воронеж,О случайных неподвижных точках
Гималтдинов,Ильяс,Кадирович,Уфа,"К теории эволюции волн в жидкости, содержащей пузырьковые экраны"
Гималтдинова,Альфира,Авкалевна,Уфа,Спектральная задача для обыкновенного дифференциального оператора второго порядка со знакопеременным коэффициентом
Глызин,Сергей,Дмитриевич,Ярославль,Асимптотика самосимметричного цикла билокальной модели Хатчинсона
Головко,Николай,Иванович,Владивосток,"Матожидание незавершенной работы в СМО с бесконечным накопителем, диффузионной интенсивностью входного потока и нулевым коэффициентом сноса"
Головко,Николай,Иванович,Владивосток,Производящая функция числа заявок СМО с диффузионной интенсивностью входного потока и нулевым коэффициентом сноса
Голубов,Борис,Иванович,Долгопрудный,"Волосивец С.С., Голубов Б.И. Операторы Харди и Харди-Литтлвуда дробного порядка в пространстве Герца и Морри-Герца"
Голубов,Борис,Иванович,Москва,Модифицированные операторы Харди и Харди-Литтлвуда дробного порядка в пространствах Герца и Морри-Герца
Горбачев,Дмитрий,Викторович,Тула,О предельной связи между константами Никольского для полиномов и функций
Графов,Денис,Александрович,Москва,О сходимости кратных рядов Фурье по подпоследовательностям
Гусева,Елена,Юрьевна,Воронеж,О некоторых алгебрах интегральных операторов
Данченко,Владимир,Ильич,Владимир,Неравенства типа Фейера для тригонометрических многочленов
Додонов,Артур,Евгеньевич,Владимир,Неравенства типа С. М. Никольского для наипростейших дробей
Долгих,Антон,Николаевич,Воронеж,Задача оптимального управления для модели Осколкова-Павловского
Долгих,Татьяна,Федоровна,Ростов-на-Дону,Методы решения задачи для зонального электрофореза с периодическими начальными данными
Думачев,Владислав,Николаевич,Воронеж,Базисы Уолша в нейросетевой классификации
Егорова,Анна,Евгениевна,Уфа,Критерий пополнения комплексной последовательности
Елфимова,Алёна,Викторовна,Воронеж,Об обратных спектральных задачах на геометрическоих графах
Ершова,Елена,Михайловна,Тверь,Ограниченность норм операторов класса S2 на основе обобщенного ядра Джексона
Ефремова,Любовь,Сергеевна,Саратов,Восстановление разрывов потенциала в обратной задаче для интегро-дифференциальных операторов
Жук,Татьяна,Алексеевна,Владивосток,"Матожидание незавершенной работы в СМО с бесконечным накопителем, диффузионной интенсивностью входного потока и нулевым коэффициентом сноса"
Жук,Татьяна,Алексеевна,Владивосток,Производящая функция числа заявок СМО с диффузионной интенсивностью входного потока и нулевым коэффициентом сноса
Жумаев,Даврон,Илхомович,Ташкент,Суперпаракомпактные просстранства
Зайцева,Ирина,Владимировна,Ставрополь,Математическое моделирование управления трудовыми ресурсами
Зайцева,Наталья,Владимировна,Казань,Первая начально-граничная задача для гиперболического уравнения с сингулярным коэффициентом
Закора,Дмитрий,Александрович,Симферополь,О модели Максвелла вязкоупругой жидкости
Захаров,Валерий,Константинович,Москва,Критерии и достаточные условия слабой компактности множеств радоновских мер на общих топологических пространствах
Зверева,Маргарита,Борисовна,Воронеж,О волновых уравнения с краевым условием типа sweeping процесса.
Зелюкина,Виктория,Сергеевна,Липецк,Обобщение теоремы о носителе для преобразования Радона-Киприянова
Зубова,Светлана,Петровна,Воронеж,О задаче сохранения траектории динамической системы
Ивкин,Андрей,Николаевич,Самара,Проекции базисов Рисса с полным спарком
Игнатьев,Михаил,Юрьевич,Саратов,О решении одной обратной задачи для интегро-дифференциальных операторов
Илолов,Мамадшо,Илолович,"Душанбе, Таджикистан",Об уравнениях сверточного типа
Ильина,Ольга,Михайловна,Воронеж,О знакорегулярных граничных задачах с негладкими и разрывными решениями
Иноземцев,Алексей,Иванович,Липецк,О фредгольмовости операторов и уравнений с многомерными частными интегралами в пространстве непрерывных на параллелепипеде функций
Калитвин,Анатолий,Семенович,Липецк,Спектральные свойства операторов с частными интегралами и переменными пределами интегрирования
Калитвин,Владимир,Анатольевич,Липецк,Об устойчивости линейного интегро-дифференциального уравнения Барбашина с частной производной второго порядка
Калманович,Вероника,Валерьевна,Калуга,Об использовании матричного метода решения задач теплопроводности в многослойной среде при наличии фазовых переходов
Капицына,Татьяна,Владимировна,Москва,"О граничных и начальных значениях решений параболических уравнений, вырождающихся на границе области"
Качалов,Василий,Иванович,Москва,К вопросу о голоморфной регуляризации сингулярных возмущений.
Кильдибаева,Светлана,Рустамовна,Стерлитамак,Исследование распространения многофазных затопленных струйных течений
Ким,Инна,Геральдовна,Ижевск,О преимуществах использования языка программирования Python в реализации численных методов
Киричек,Виталия,Александровна,Самара,Задача с интегральными условиями второго рода для гиперболического уравнения
Козко,Артем,Иванович,Москва,Двойственность в пространствах с несимметричной нормой
Колесникова,Инна,Викторовна,Воронеж,Прогибы сжатой балки на двойном упругом основании(в обобщенной модели Власова-Леонтьева)
Конечная,Наталья,Николаевна,Архангельск,Асимптотика решений одного класса линейных дифференциальных уравнений с коэффициентами-распределениями первого порядка
Копачевский,Николай,Дмитриевич,Симферополь,"О малых движениях системы ""вязко-упругая жидкость - идеальные жидкости"", целиком заполняющей неподвижный сосуд, О малых движениях гидросистемы ""вязко-упругая жидкость - баротропный газ"", заполняющей неподвижный сосуд"
Коржавина,Марьяна,Сергеевна,Нижний Новгород,Начально-краевая задача для полулинейного параболического уравнения с управляемыми старшими коэффициентами
Корнев,Сергей,Викторович,Воронеж,Асимптотическое поведение решений случайных функционально-дифференциальных уравнений и метод интегральных направляющих потенциалов
Коровина,Мария Коровина,Вмкторовна,Москва,Построение асимптотик решений линейных дифференциальных уравнений с голоморфными коэффициентами в окрестности бесконечности
Королев,Георгий,Максимович,Москва,Об одной задаче с нелокальным усреднением для многомерного уравнения теплопроводности
Короткий,Владимир,Адамович,Ярославль,Математическое моделирование Ливонской войны: исторический и гипотетический сценарии
Костин,Андрей,Борисович,Москва,О расположении спектра задачи с наклонной производной для оператора Лапласа
Кочанова,Екатерина,Юрьевна,Уфа,Динамика детонационных волн в пузырьковой жидкости при внезапном изменении сечения канала
Крейн,Мария,Нехемьевна,Липецк,Отображения из многообразия в некоммутативную алгебру
Кривошеева,Олеся,Александровна,Уфа,A construction of complex sequence by relatively small groups
Кувшинников,Артем,Евгеньевич,Москва,Сравнение норм ошибок солверов пакета OpenFOAM на примере обтекания конуса под нулевым углом атаки
Кудрявцева,Ольга,Сергеевна,Волгоград,Области однолистности голоморфных отображений круга в себя с инвариантным диаметром
Кужаев,Арсен,Фанилевич,Уфа,Об одном обобщении теоремы Л. А. Рубеля
Курсеева,Валерия,Юрьевна,Пенза,Многопараметрические задачи на собственные значения и их приложения в электродинамике
Кутерин,Федор,Алексеевич,Нижний Новгород,Устойчивый секвенциальный принцип максимума Понтрягина в задаче оптимального управления фазовым ограничением
Кучкарова,Айгуль,Наилевна,Уфа,Полнота системы собственных функции задачи Геллерстедта для оператора Лаврентьева-Бицадзе с условием склеивания Франкля
Латыпов,Ильдар,Абдулхаевич,Ижевск,Использование логического аппарата в преподавании математического анализа
Латыпова,Наталья,Владимировна,Ижевск,"Проблемы преподавания курса ""Численные методы"" для математических направлений подготовки"
Лебедева,Елена,Александровна,Санкт-Петербург,Безусловная сходимость разложений по фреймам всплесков
Лепихин,Сергей,Анатольевич,Сургут,Изучение возникновения аварийных ситуации в магистральных газопроводах связанных с образованием на внутренней поверхности газопроводов газовых гидратов с учетом использования современных ингибиторов гидратообразования
Лепихин,Сергей,Анатольевич,Сургут,Исследование возникновения аварийных ситуации в магистральных газопроводах связанных с образованием на внутренней поверхности газопроводов газовых гидратов с учетом использования современных ингибиторов гидратообразования
Лепихин,Сергей,Анатольевич,Сургут,Исследование образования газовых гидратов при работе купола-сепаратора установленного на дне океана над местом аварийного выброса гидратообразующего газа и нефти
Ливчак,Алексей,Яковлевич,Рига,-
Лийко,Виктория,Владимировна,Москва,Об одном свойстве разностного оператора с переменными коэффициентами
Литвинов,Дмитрий,Анатольевич,Воронеж,Обратная связь в динамических системах
Лобанова,Наталья,Ивановна,г. Зеленокумск,"Решение некоторых геометрических задач, сводящихся к однородным дифференциальным уравнениям, в системе дополнительного образования"
Лобода,Александр,Васильевич,Воронеж,Голоморфные реализации разложимых 5-мерных алгебр Ли
Ломов,Игорь,Сергеевич,Москва,"Условно (если приеду, то без доклада - для работы с Августом Петровичем): Дифференциальные операторы с интегральными краевыми условиями"
Ломовцев,Фёдор,Егорович,Минск,Критерий корректности начально-граничной задачи для модельного параболического уравнения на отрезке со смешанными граничными условиями на концах
Лукашенко,Владислав,Тарасович,Москва,Моделирование полета осколков метеороида после его распада
Лукашенко,Тарас,Павлович,Москва,Свойства орторекурсивных разложений
Лыков,Константин,Владимирович,"Смышляевка, Самарская область",Экстраполяционное описание предельных интерполяционных пространств на основе J-метода
Ляхов,Лев,Николаевич,Воронеж,Обобщение теоремы о носителе для преобразования Радона-Киприянова
Малафеев,Олег,Алексеевич,Санкт-Петербург, Математическое моделирование управления трудовыми ресурсами
Миронов,Алексей,Николаевич,Елабуга,Об инвариантах Лапласа для одного класса гиперболических уравнений
Миронова,Любовь,Борисовна,Елабуга,Об инвариантах Лапласа для одного класса гиперболических уравнений
Москалев,Павел,Валентинович,Воронеж,"О моделировании задачи перколяции узлов для треугольной решётки на квадратной решётке с (1,1)-окрестностью"
Москалев,Павел,Валентинович,Воронеж,"О моделировании перколяции узлов на треугольной решётке с помощью квадратной решётки с (1,∞)-окрестностью"
Мохамад,АбдулФтах,Хосни,Воронеж,Однородные дифференциальные уравнения неразрешенные относительно производной
Насыров,Азат,Аскатович,Бирск,Изучение возникновения аварийных ситуации в магистральных газопроводах связанных с образованием на внутренней поверхности газопроводов газовых гидратов с учетом использования современных ингибиторов гидратообразования
Насыров,Азат,Аскатович,Бирск,Исследование образования газовых гидратов при работе купола-сепаратора установленного на дне океана над местом аварийного выброса гидратообразующего газа и нефти.
Никитина,Александра,Александровна,Липецк,-
Новиков,Сергей,Яковлевич,Самара,Равноугольные жесткие фреймы в цифровой обработке разреженных сигналов
Онищенко,Владислав,Евгеньевич,Санкт-Петербург,Аукцион инвестиционных проектов второй цены: компромиссное решение
Оразов,Исабек,Оразович,Шымкент,О канторовой компоненте спектра оператора теплопроводности с отклоняющимся аргументом
Орешина,Мария,Николаевна,Липецк,О функциональном исчислении в тензорном произведении гильбертовых пространств
Орлов,Владимир,Петрович,Воронеж,О некоторых дробных моделях гидродинамики
Орлова,Анастасия,Сергеевна,Москва,Индивидуальные и классовые оценки скорости сходимости слабых жадных приближений по ортогональным словарям
Парфенов,Андрей,Павлович,Санкт-Петербург,Компромиссное решение в модели экономики с заменой оборудования
Переходцева,Эльвира,Викторовна,Москва,Гидродинамико-статистическое моделирование и прогнозирование опасных конвективных явлений по территории центральной России
Петрушко,Игорь,Мелетиевич,Москва,О граничных и начальных значениях решений параболических уравнений
Пискарев,Сергей,Игоревич,Москва,Аппроксимация дробных уравнений
Плотников,Михаил,Геннадьевич,Вологда,Восстановление ортогональных рядов и мартингальных последовательностей
Половинкин,Игорь,Петрович,Воронеж,О некоторых свойствах решений линейных уравнений в частных производных
Половинкина,Марина,Васильевна,Воронеж,Об одном семействе однородных римановых метрик
Полякова,Дарья,Александровна,Ростов-на-Дону,Однородные уравнения свертки в пространствах ультрадифференцируемых функций на прямой
Прокопьева,Дина,Борисовна,Владивосток,Производящая функция числа заявок СМО с диффузионной интенсивностью входного потока и нулевым коэффициентом сноса
Работинская,Наталья,Ивановна,Воронеж,Теорема о следах для одного класса вырождающихся псевдодифференциальных операторов
Раецкая,Елена,Владимировна,Воронеж,Об управлении одной динамической системой
Раецкий,Кирилл,Александрович,Воронеж,Решение одной краевой задачи неопределенных коэффициентов
Райцин,Аркадий,Михайлович,Москва,Методы идентификации пространственных распределений интенсивности лазерных пучков для оптимального управления параметрами лазера
Расулов,Абдурауф,Бабаджанович,Москва,Граничные задачи для эллиптических уравнений с сильными особенностями в младших коэффициентах
Рафиков,Азат,Ильгизович,Уфа,"Достаточное условие разложения функции, аналитической в замкнутой ограниченной области, в ряд экспоненциальных многочленов"
Рединских,Надежда,Дмитриевна,Санкт-Петербург,Аукцион инвестиционных проектов второй цены: компромиссное решение.
Рогач,Дарья,Александровна,Самара,"Устойчивость измерительных векторов, обеспечивающих восстановление сигнала без фаз"
Родикова,Евгения,Геннадьевна,Брянск,Об одной задаче в классе И.И. Привалова
Родин,Владимир,Александрович,Воронеж,Некоторые дополнения к теории надежности Шеннона-Мура
Родионов,Тимофей,Викторович,Москва,Критерии и достаточные условия слабой компактности множеств радоновских мер на общих топологических пространствах
Ротко,Валерий,Витальевич,Ханты-Мансийск,Обратные задачи для некоторых квазилинейных параболических систем с точечными условиями переопределения
Рыхлов,Виктор,Сергеевич,Саратов,О кратной полноте некоторых классов пучков дифференциальных операторов
Сабитов,Камиль,Басирович,Стерлитамак,Применение рядов в теории уравнений смешанного типа
Самсонов,Антон,Андреевич,Казань,Математическое моделирование собственных колебаний упругого стержня с присоединёнными грузами
Сапронова,Татьяна,Юрьевна,Воронеж,Редукция Ляпунова–Шмидта и квазиинвариантные подмногообразия
Свинина,Светлана,Валерьевна,Иркутск,Об одной краевой задаче для квазилинейной дифференциально-алгебраической системы
Семенова,Татьяна,Юрьевна,Москва,О главном члене асимптотического разложения интегралов Фейнмана
Сергазы,Галимжан,Нургазыулы,Москва,Фильтрационные свойства одномерных рядов Фурье-Хаара
Серегина,Елена,Владимировна,Калуга,Сравнительный анализ применения матричного метода с методом конечных разностей для моделирования распределения неосновных носителей заряда в многослойной планарной структуре
Сидоров,Станислав,Николаевич,Стерлитамак,Обратные задачи по отысканию правых частей уравнений смешанного параболо-гиперболического типа с вырождающейся параболической частью
Симонова,Мария,Александровна,Воронеж,Об обратных спектральных задачах с производными по мере
Синегубов,Сергей,Владимирович,Воронеж,Некоторые дополнения к теории надежности Шеннона-Мура
Смирнов,Владимир,Юрьевич,Москва,Построение асимптотик решений линейных дифференциальных уравнений с голоморфными коэффициентами в окрестности бесконечности
Солиев,Юнус,Солиевич,Москва,О синк-аппроксимации сингулярного интеграла Гильберта
Соловьёв,Павел,Сергеевич,Казань,Исследование операторной задачи на собственные значения с рациональной зависимостью от спектрального параметра
Солодов,Алексей,Петрович,Москва,"Двусторонняя оценка суммы ряда по синусам с выпуклыми, медленно меняющимися коэффициентами"
Стенюхин,Леонид,Витальевич,Воронеж,Бифуркационный анализ задачи капиллярности
Степанищева,Виктория,Сергеевна,Москва,Модельная обратная задача теплопроводности для полуограниченной среды
Степович,Михаил,Адольфович,Калуга,"О качественных характеристиках двумерной математической модели катодолюминесценции, генерированной низкоэнергетическим электронным зондом в однородном полупроводниковом материале"
Столповский,Максим,Владимирович,Уфа,Инжекция жидкой двуокиси углерода в метаногидратный пласт
Страхов,Степан,Игоревич,Самара,Об одном классе пространств Орлича.
Струков,Виктор,Евгеньевич,Воронеж,"О распределениях, периодических на бесконечности"
Струкова,Ирина,Игоревна,Воронеж,О некоторых свойствах периодических на бесконечности функций из однородных пространств
Султанахмедов,Мурад,Салихович,Махачкала,Sobolev orthogonal polynomials associated with Chebyshev polynomials of the second kind
Сумин,Владимир,Иосифович,Нижний Новгород,Вольтерровы функционально-операторные уравнения и оптимальное управление распределенными системами
Сумин,Владимир,Иосифович,Нижний Новгород,Об особых управлениях принципа максимума в распределенных задачах оптимизации
Сумин,Михаил,Иосифович,Нижний Новгород,Субдифференцируемость функций значений и регуляризация классических условий оптимальности в задачах оптимального управления
Сёмкина,Екатерина,Владимировна,Симферополь,"О малых движениях системы ""вязко-упругая жидкость - идеальные жидкости"", целиком заполняющей неподвижный сосуд"
Терехин,Павел,Александрович,Саратов,Фреймы в банаховых пространствах
Тихонов,Иван,Владимирович,Москва,"Комбинаторные структуры, связанные с явной записью полиномов Бернштейна на симметричном отрезке (совместно с В.Б. Шерстюковым и М.А. Петросовой)"
Томин, Николай,Григорьевич,Иваново ,"On spectral properties of some discrete operators (Tomin N.G., Tomina I.V.)        "
Томина,Ирина,Валентиновна,Иваново ,"On spectral properties of some discrete operators ( Tomin N.G., Tomina I.V.)"
Трусова,Наталья,Ивановна,Липецк,О фредгольмовости матричных операторов типа Романовского с частными интегралами
Турбин,Михаил,Вячеславович,Воронеж,Задача оптимального управления для модели Осколкова-Павловского
Усков,Владимир,Игоревич,Воронеж,Решение дифференциального уравнения первого порядка с малым параметром
Ускова,Наталья,Борисовна,Воронеж,К спектральным свойствам одного дифференциального оператора
Устюжанинова,Анастасия,Сергеевна,Воронеж,Задача оптимального управления для модели Осколкова-Павловского
Фарков,Юрий,Анатольевич,Москва,Фреймы Парсеваля и дискретное преобразование Виленкина-Крестенсона
Фомин,Василий,Ильич,Тамбов,О линейном дифференциальном уравнении n-го порядка с ограниченными операторными коэффициентами в банаховом пространстве
Фролова,Евгения,Сергеевна,Владивосток,"Матожидание незавершенной работы в СМО с бесконечным накопителем, диффузионной интенсивностью входного потока и нулевым коэффициентом сноса"
Фуфаев,Денис,Владимирович,Москва,TBA
Ханин,Артур,Роландович,Казань,Применение нейронных сетей для решения задачи атом-атомного отображения
Хасанов,Марат,Камилович,Стерлитамак,Приближенные аналитические решения задачи о гидратообразовании в пористой среде
Хацкевич,Владимир,Львович,Воронеж,Об оптимальных квазилинейных оценках случайных величин
Хачатрян,Нерсес,Карленович,Москва,Квазирешения типа бегущей волны в моделях организации грузоперевозок
Хромов,Август,Петрович,Саратов,Резольвентный подход в методе Фурье
Царьков,Игорь,Германович,Москва,Липшицевость чебышевского проектора в несимметричных полиэдральных пространствах
Царьков,Игорь,Германович,Москва,Почти выпуклость и ограниченность диаметров ближайших элементов
Цветков,Денис,Олегович,Симферополь,"Малые движения многослойной стратифицированной жидкости со свободной поверхностью, полностью покрытой льдом."
Цветкович,Диана,Горановна,Москва,Уточненный вид разложений Поповичу для полиномов Бернштейна от рационального модуля (совместно с И.В.Тихоновым и В.Б.Шерстюковым)
Чернова,Ольга,Викторовна,Белгород,Задача Римана-Гильберта для эллиптической системы первого порядка в бесконечной области
Чеснокова,Ксения,Васильевна,Москва,Об отображении Штейнера в банаховых пространствах
Чиглинцев,Игорь,Александрович,Бирск,Изучение возникновения аварийных ситуации в магистральных газопроводах связанных с образованием на внутренней поверхности газопроводов газовых гидратов с учетом использования современных ингибиторов гидратообразования
Чиглинцев,Игорь,Александрович,Бирск,Исследование образования газовых гидратов при работе купола-сепаратора установленного на дне океана над местом аварийного выброса гидратообразующего газа и нефти
Шабров,Сергей,Александрович,Воронеж,О скорости роста собственных значений граничной задачи четвертого порядка с негладкими решениями
Шаброва,Марина,Вячеславовна,Воронеж,Некоторые свойства собственных значений граничных задач с негладкими решениями
Шалданбаев,Амир,Шалданбаевич,Шымкент,Критерии вольтерровости задачи Коши для уравнения пантографа
Шалданбаева,Айгерим,Амировна,Шымкент,Критерии вольтерровости задачи Коши для уравнения пантографа
Шалданбай,Баглан,Амирович,"Казахстан, Шымкент",Формула следа задачи Коши дифференциального уравнения первого порядка с переменным отклонением аргумента
Шамолин,Максим,Владимирович,Москва,Интегрируемые диссипативные системы со многим числом степеней свободы
Шананин,Николай,Алексеевич,Москва,Об однозначном продолжении решений.
Шелковой,Александр,Николаевич,Воронеж,Оценки собственных значений и собственных функций дифференциального оператора второго порядка с нелокальными краевыми условиями
Шерстюков,Владимир,Борисович,Москва,Об оцеках остатков степенных рядов при специальных ограничениях на коэффициенты
Шоманбаева,Манат,Торгаевна,Шымкент,Формула следа задачи Коши дифференциального уравнения первого порядка с переменным отклонением аргумента
Штейников,Юрий,Николаевич,Москва,О конечности полиномиальных систем
Шубарин,Михаил,Александрович,Ростов-на-Дону,Тупиковые пространства и их приложения
Щербаков,Виктор,Иннокентьевич,Жуковский,Признак сходимости Жордана для обобщённых систем Хаара
Яковлева,Юлия,Олеговна,Самара,Краевая задача для одной системы уравнений гиперболического типа третьего порядка
Янченко,Александр,Яковлевич,Москва,О целых функциях - решениях алгебраических дифференциальных уравнений первого порядка
